inventory_id,source_commit,application_id,application_name,application_version,source_path,source_line,subscriber_codeunit_id,subscriber_codeunit_name,subscriber_instance,subscriber_procedure,publisher_object_type,publisher_object,published_event_name,published_element_name,skip_on_missing_license,skip_on_missing_permission,procedure_signature,parameter_names,var_parameter_names,has_ishandled_parameter,has_handled_parameter,has_skip_parameter,conditional_compilation_context,prior_known,coarse_screen_status,selection_status
CZPOP-0273,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PostPrevTableHandlerCZL.Codeunit.al,62,31128,Post. Prev. Table Handler CZL,Manual,OnInsertErrorMessage,ObjectType::Table,"Database::""Error Message""",OnAfterInsertEvent,,false,false,"var Rec: Record ""Error Message""; RunTrigger: Boolean",Rec | RunTrigger,Rec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0274,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PstdGenJnlLineHandlerCZL.Codeunit.al,12,31156,Pstd.Gen.Jnl.Line Handler CZL,StaticAutomatic (default),UpdateVATDateOnAfterInsertFromGenJournalLine,ObjectType::Table,"Database::""Posted Gen. Journal Line""",OnAfterInsertFromGenJournalLine,,false,false,"GenJournalLine: Record ""Gen. Journal Line""; sender: Record ""Posted Gen. Journal Line""",GenJournalLine | sender,,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0275,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchInvHeaderEditCZL.Codeunit.al,22,11759,Purch. Inv. Header - Edit CZL,StaticAutomatic (default),PurchInvoiceEditOnBeforePurchInvHeaderModify,ObjectType::Codeunit,"Codeunit::""Purch. Inv. Header - Edit""",OnBeforePurchInvHeaderModify,,false,false,"var PurchInvHeader: Record ""Purch. Inv. Header""; PurchInvHeaderRec: Record ""Purch. Inv. Header""",PurchInvHeader | PurchInvHeaderRec,PurchInvHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0276,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchInvHeaderEditCZL.Codeunit.al,38,11759,Purch. Inv. Header - Edit CZL,StaticAutomatic (default),PurchInvoiceEditOnBeforeUpdateVendorLedgerEntryAfterSetValues,ObjectType::Codeunit,"Codeunit::""Purch. Inv. Header - Edit""",OnBeforeUpdateVendorLedgerEntryAfterSetValues,,false,false,"var VendorLedgerEntry: Record ""Vendor Ledger Entry""; PurchInvHeader: Record ""Purch. Inv. Header""",VendorLedgerEntry | PurchInvHeader,VendorLedgerEntry,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0277,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchInvHeaderEditCZL.Codeunit.al,53,11759,Purch. Inv. Header - Edit CZL,StaticAutomatic (default),UpdateRelatedEntriesOnRunOnAfterPurchInvHeaderEdit,ObjectType::Codeunit,"Codeunit::""Purch. Inv. Header - Edit""",OnRunOnAfterPurchInvHeaderEdit,,false,false,"var PurchInvHeader: Record ""Purch. Inv. Header""",PurchInvHeader,PurchInvHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0278,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,16,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateVatDateOnAfterInitRecord,ObjectType::Table,"Database::""Purchase Header""",OnAfterInitRecord,,false,false,"var PurchHeader: Record ""Purchase Header""",PurchHeader,PurchHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0279,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,24,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateVatDateOnBeforePostingDateValidate,ObjectType::Table,"Database::""Purchase Header""",OnBeforeValidateEvent,Posting Date,false,false,"var Rec: Record ""Purchase Header""",Rec,Rec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0280,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,32,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateVatDateOnBeforeDocumentDateValidate,ObjectType::Table,"Database::""Purchase Header""",OnBeforeValidateEvent,Document Date,false,false,"var Rec: Record ""Purchase Header""",Rec,Rec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0281,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,40,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateOnAfterCopyBuyFromVendorFieldsFromVendor,ObjectType::Table,"Database::""Purchase Header""",OnAfterCopyBuyFromVendorFieldsFromVendor,,false,false,"var PurchaseHeader: Record ""Purchase Header""; Vendor: Record Vendor",PurchaseHeader | Vendor,PurchaseHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0282,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,47,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateBankInfoAndRegNosOnValidatePurchaseHeaderPayToVendorNo,ObjectType::Table,"Database::""Purchase Header""",OnValidatePurchaseHeaderPayToVendorNoOnBeforeCheckDocType,,false,false,"var PurchaseHeader: Record ""Purchase Header""; var xPurchaseHeader: Record ""Purchase Header""; Vendor: Record Vendor",PurchaseHeader | xPurchaseHeader | Vendor,PurchaseHeader | xPurchaseHeader,No,No,No,,Unknown,Not Screened,Unselected
